TEAM_ABBREVIATION,GAME_ID,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
CLE,0021800008,CLE @ TOR,L,239,104,34,85,0.4,7,19.0,0.368,29,39,0.744,14.0,35.0,49.0,17,4.0,0,16,25,-12.0
CLE,1521800080,CLE @ LAL,L,220,109,37,80,0.463,10,27.0,0.37,25,32,0.781,10.0,32.0,42.0,17,7.0,4,15,28,0.2
CLE,1521800077,CLE vs. TOR,W,200,82,27,66,0.409,7,24.0,0.292,21,29,0.724,11.0,36.0,47.0,11,3.0,10,15,25,13.4
CLE,1521800071,CLE @ HOU,W,201,92,33,79,0.418,7,21.0,0.333,19,22,0.864,14.0,31.0,45.0,13,6.0,3,17,26,2.4
CLE,1521800047,CLE vs. SAC,W,199,96,34,72,0.472,9,24.0,0.375,19,23,0.826,9.0,31.0,40.0,17,5.0,7,15,33,10.2
CLE,1521800033,CLE vs. IND,W,199,93,36,72,0.5,7,20.0,0.35,14,17,0.824,5.0,24.0,29.0,17,9.0,3,15,26,5.4
CLE,1521800018,CLE vs. CHI,L,200,81,33,76,0.434,5,27.0,0.185,10,18,0.556,12.0,26.0,38.0,17,5.0,1,15,25,-5.0
CLE,1521800007,CLE @ WAS,W,200,72,26,73,0.356,5,18.0,0.278,15,21,0.714,13.0,38.0,51.0,15,14.0,6,21,25,13.0
NOP,0021801215,NOP vs. GSW,L,240,103,44,99,0.444,9,33.0,0.273,6,10,0.6,7.0,35.0,42.0,29,9.0,1,10,15,-9.0
NOP,0021801207,NOP @ SAC,W,240,133,52,101,0.515,19,42.0,0.452,10,12,0.833,14.0,41.0,55.0,28,4.0,11,15,16,4.0
NOP,0021801189,NOP @ PHX,L,265,126,49,101,0.485,8,23.0,0.348,20,27,0.741,15.0,38.0,53.0,28,4.0,4,15,21,-7.0
NOP,0021801171,NOP vs. CHA,L,240,109,40,85,0.471,15,41.0,0.366,14,17,0.824,7.0,41.0,48.0,25,7.0,4,19,27,-6.0
NOP,0021801147,NOP vs. LAL,L,240,102,38,83,0.458,8,31.0,0.258,18,21,0.857,5.0,40.0,45.0,19,5.0,1,24,16,-28.0
NOP,0021801128,NOP vs. SAC,W,240,121,49,97,0.505,9,28.0,0.321,14,14,1.0,8.0,37.0,45.0,27,6.0,6,12,16,3.0
NOP,0021801113,NOP vs. ATL,L,242,120,39,83,0.47,12,34.0,0.353,30,40,0.75,8.0,37.0,45.0,28,10.0,6,24,23,-10.0
NOP,0021801099,NOP vs. HOU,L,239,90,38,92,0.413,7,28.0,0.25,7,10,0.7,15.0,29.0,44.0,26,9.0,3,15,9,-23.0
NOP,0021801066,NOP @ ORL,L,241,96,38,102,0.373,10,34.0,0.294,10,13,0.769,14.0,35.0,49.0,24,9.0,2,13,15,-23.0
NOP,0021801056,NOP @ DAL,W,264,129,49,104,0.471,12,39.0,0.308,19,22,0.864,14.0,41.0,55.0,34,7.0,6,17,28,4.0
NOP,0021801036,NOP vs. PHX,L,265,136,47,102,0.461,15,30.0,0.5,27,41,0.659,18.0,39.0,57.0,34,11.0,4,22,30,-2.0
NOP,0021801031,NOP vs. POR,L,239,110,45,94,0.479,8,30.0,0.267,12,25,0.48,14.0,31.0,45.0,31,7.0,6,11,23,-12.0
NOP,0021801010,NOP vs. MIL,L,239,113,46,107,0.43,10,47.0,0.213,11,16,0.688,13.0,37.0,50.0,27,3.0,4,15,23,-17.0
NOP,0021800995,NOP @ ATL,L,239,116,45,101,0.446,18,41.0,0.439,8,8,1.0,5.0,37.0,42.0,29,6.0,9,8,17,-12.0
NOP,0021800983,NOP vs. TOR,L,241,104,43,105,0.41,10,39.0,0.256,8,13,0.615,14.0,37.0,51.0,28,11.0,0,17,12,-23.0
NOP,0021800971,NOP vs. UTA,L,240,104,41,89,0.461,9,24.0,0.375,13,20,0.65,7.0,34.0,41.0,17,6.0,4,17,23,-10.0
NOP,0021800956,NOP @ UTA,W,240,115,46,96,0.479,9,20.0,0.45,14,18,0.778,12.0,32.0,44.0,24,12.0,5,8,20,3.0
NOP,0021800941,NOP @ DEN,W,240,120,45,92,0.489,12,30.0,0.4,18,26,0.692,12.0,35.0,47.0,28,10.0,4,21,25,8.0
NOP,0021800932,NOP @ PHX,W,240,130,50,87,0.575,16,27.0,0.593,14,20,0.7,10.0,40.0,50.0,34,13.0,4,24,18,14.0
NOP,0021800921,NOP @ LAL,L,240,119,46,102,0.451,7,35.0,0.2,20,27,0.741,14.0,38.0,52.0,31,6.0,3,13,27,-6.0
NOP,0021800906,NOP vs. PHI,L,238,110,44,104,0.423,5,28.0,0.179,17,24,0.708,14.0,40.0,54.0,29,15.0,8,13,19,-1.0
NOP,0021800887,NOP vs. LAL,W,241,128,50,96,0.521,15,40.0,0.375,13,16,0.813,9.0,32.0,41.0,31,14.0,4,17,21,13.0
NOP,0021800874,NOP @ IND,L,241,111,43,93,0.462,8,27.0,0.296,17,30,0.567,14.0,37.0,51.0,25,5.0,5,17,25,-15.0
NOP,0021800866,NOP vs. OKC,W,240,131,50,92,0.543,12,26.0,0.462,19,24,0.792,13.0,38.0,51.0,35,7.0,7,14,15,9.0
NOP,0021800851,NOP vs. ORL,L,239,88,36,94,0.383,10,29.0,0.345,6,8,0.75,8.0,34.0,42.0,21,5.0,8,14,16,-30.0
