Team1,Team1Score,Team2,Team2Score
New Jersey Nets,92,Utah Jazz,108
Minnesota Timberwolves,98,Washington Bullets,105
Vancouver Grizzlies,80,Atlanta Hawks,101
Seattle SuperSonics,89,Charlotte Hornets,97
San Antonio Spurs,101,Dallas Mavericks,105
Phoenix Suns,108,Denver Nuggets,117
Miami Heat,107,Golden State Warriors,88
Portland Trail Blazers,101,Houston Rockets,102
Los Angeles Lakers,100,Philadelphia 76ers,88
Sacramento Kings,98,Toronto Raptors,87
Los Angeles Lakers,94,Boston Celtics,110
Vancouver Grizzlies,78,Detroit Pistons,87
Miami Heat,98,Los Angeles Clippers,82
Cleveland Cavaliers,75,Milwaukee Bucks,92
Seattle SuperSonics,106,Minnesota Timberwolves,98
Atlanta Hawks,75,Orlando Magic,79
New Jersey Nets,77,Phoenix Suns,99
Portland Trail Blazers,120,San Antonio Spurs,109
Charlotte Hornets,88,Toronto Raptors,92
Denver Nuggets,103,Utah Jazz,107
New Jersey Nets,118,Golden State Warriors,124
Sacramento Kings,83,Indiana Pacers,101
Washington Bullets,81,Atlanta Hawks,110
Houston Rockets,120,Boston Celtics,94
Chicago Bulls,116,Dallas Mavericks,97
Minnesota Timberwolves,108,Denver Nuggets,103
Los Angeles Lakers,84,Detroit Pistons,76
Vancouver Grizzlies,94,Indiana Pacers,104
Orlando Magic,91,Philadelphia 76ers,100
Golden State Warriors,93,Portland Trail Blazers,119
Phoenix Suns,92,Seattle SuperSonics,105
Los Angeles Clippers,94,Utah Jazz,111
Orlando Magic,86,Cleveland Cavaliers,82
New Jersey Nets,106,Los Angeles Clippers,95
Boston Celtics,77,Miami Heat,78
Charlotte Hornets,94,Milwaukee Bucks,87
Toronto Raptors,70,Minnesota Timberwolves,79
Sacramento Kings,101,New York Knicks,115
Vancouver Grizzlies,90,Philadelphia 76ers,96
Chicago Bulls,97,San Antonio Spurs,88
Houston Rockets,103,Washington Bullets,99
